breed1_name,breed_speed_mean
Abyssinian,2.5714285714285716
Affenpinscher,4.0
Airedale Terrier,4.0
Akita,2.5
American Bulldog,4.0
American Curl,2.588235294117647
American Shorthair,2.6382978723404253
American Staffordshire Terrier,3.0
American Water Spaniel,4.0
American Wirehair,2.6
Applehead Siamese,3.0
Australian Kelpie,2.6666666666666665
Australian Shepherd,4.0
Australian Terrier,3.0
Balinese,3.0
Basenji,3.0
Basset Hound,2.111111111111111
Beagle,2.2
Bearded Collie,3.0
Bedlington Terrier,2.0
Belgian Shepherd Dog Sheepdog,1.5
Belgian Shepherd Laekenois,3.0
Belgian Shepherd Malinois,2.1538461538461537
Bengal,2.056338028169014
Birman,3.0
Black Labrador Retriever,2.375
Black Mouth Cur,2.0
Bobtail,2.8421052631578947
Bombay,3.0714285714285716
Border Collie,2.4615384615384617
Boston Terrier,2.4
Boxer,2.7
British Shorthair,2.088235294117647
Bull Terrier,2.625
Bullmastiff,2.4166666666666665
Burmese,2.3043478260869565
Burmilla,3.0
Calico,2.638095238095238
Cattle Dog,3.0
Cavalier King Charles Spaniel,2.5
Chartreux,3.0
Chausie,4.0
Chihuahua,2.27027027027027
Chinese Crested Dog,0.0
Chocolate Labrador Retriever,3.0
Chow Chow,1.0
Cocker Spaniel,2.097560975609756
Collie,1.4166666666666667
Coonhound,3.0
Corgi,2.0
Cymric,3.0
Dachshund,2.1785714285714284
Dalmatian,2.4615384615384617
Dilute Calico,3.0
Dilute Tortoiseshell,3.0
Doberman Pinscher,2.403225806451613
Domestic Long Hair,2.0878378378378377
Domestic Medium Hair,2.3394276629570747
Domestic Short Hair,2.4790864061640066
Dutch Shepherd,1.0
Egyptian Mau,2.3333333333333335
English Bulldog,1.8
English Cocker Spaniel,1.8888888888888888
English Pointer,2.0
English Springer Spaniel,3.0
Exotic Shorthair,2.5
Extra-Toes Cat (Hemingway Polydactyl),1.5
Field Spaniel,4.0
Flat-coated Retriever,3.6666666666666665
Fox Terrier,2.0
Foxhound,1.0
French Bulldog,2.0
German Pinscher,2.5
German Shepherd Dog,2.2857142857142856
German Spitz,2.5
Glen of Imaal Terrier,1.5
Golden Retriever,2.0728476821192054
Great Dane,1.8333333333333333
Greyhound,3.3333333333333335
Havana,3.0
Himalayan,1.3333333333333333
Hound,2.6363636363636362
Husky,2.2972972972972974
Irish Setter,2.6666666666666665
Irish Terrier,4.0
Irish Wolfhound,2.0
Jack Russell Terrier,2.578125
Jack Russell Terrier (Parson Russell Terrier),2.5
Japanese Bobtail,3.0
Japanese Chin,3.0
Javanese,2.2857142857142856
Kai Dog,4.0
Korat,2.4
Kuvasz,1.0
Labrador Retriever,2.346341463414634
Lancashire Heeler,3.0
Lhasa Apso,1.5
Lowchen,3.0
Maine Coon,1.9705882352941178
Maltese,1.7894736842105263
Manchester Terrier,1.5
Manx,2.625
Mastiff,3.25
Miniature Pinscher,2.373134328358209
Mixed Breed,2.746077273494179
Mountain Dog,4.0
Munsterlander,2.0
Nebelung,4.0
Norwegian Forest Cat,1.4
Ocicat,1.5
Old English Sheepdog,3.0
Oriental Long Hair,1.7058823529411764
Oriental Short Hair,2.7945205479452055
Oriental Tabby,2.7142857142857144
Papillon,1.0
Pekingese,1.8333333333333333
Persian,1.9502262443438914
Pit Bull Terrier,2.5217391304347827
Pixie-Bob,4.0
Pointer,4.0
Pomeranian,2.0454545454545454
Poodle,1.9760479041916168
Pug,2.0
Ragamuffin,1.0
Ragdoll,1.875
Rat Terrier,2.6
Retriever,2.75
Rhodesian Ridgeback,2.0
Rottweiler,2.102272727272727
Russian Blue,1.8846153846153846
Saint Bernard,1.2
Samoyed,3.0
Schnauzer,2.130434782608696
Scottish Fold,2.0
Scottish Terrier Scottie,2.0
Setter,3.0
Shar Pei,2.6
Sheep Dog,4.0
Shepherd,2.5
Shetland Sheepdog Sheltie,2.0
Shiba Inu,2.6666666666666665
Shih Tzu,2.031578947368421
Siamese,2.0568181818181817
Siberian,1.6666666666666667
Siberian Husky,1.92
Silky Terrier,1.9166666666666667
Silver,4.0
Singapura,3.1538461538461537
Snowshoe,3.6
Somali,2.0
Spaniel,4.0
Sphynx (hairless cat),0.0
Spitz,2.6179775280898876
Staffordshire Bull Terrier,4.0
Standard Poodle,2.5
Swedish Vallhund,4.0
Tabby,2.4210526315789473
Terrier,2.5246913580246915
Tiger,2.380952380952381
Tonkinese,1.6
Torbie,2.0
Tortoiseshell,2.3333333333333335
Toy Fox Terrier,2.0
Turkish Angora,2.857142857142857
Turkish Van,2.875
Tuxedo,2.482142857142857
Unknown,3.2
Weimaraner,3.6666666666666665
Welsh Corgi,2.0
West Highland White Terrier Westie,2.5714285714285716
Wheaten Terrier,3.0
Whippet,2.0
White German Shepherd,2.5
Wirehaired Terrier,3.0
Yellow Labrador Retriever,2.75
Yorkshire Terrier Yorkie,1.4
